"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
912,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Nei, aldri",1,1,4,1,3,"Gemini",3
913,"Kvinne","55-64","Agder og Rogaland","Grunnskole/videregående",2,"Arbeiderpartiet",3,"Ja, noen ganger",4,0,1,5,1,"Grok",1
914,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"Rødt",3,"Ja, noen ganger",1,1,1,1,2,"heiVG",1
915,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Annet parti",3,"Nei, aldri",0,0,2,2,1,"Grok",1
916,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Høyre",3,"Nei, aldri",3,1,NA,2,3,"ChatGPT",3
917,"Kvinne","25-34","Trøndelag",NA,4,"Arbeiderpartiet",4,"Ja, store deler av tiden",0,0,2,2,4,"Forsker",4
918,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, noen ganger",4,0,3,4,3,"heiVG",2
919,"Kvinne","45-54","Trøndelag","Universitet/høyskole 1-4 år",NA,NA,3,"Nei, aldri",0,0,4,3,3,"Grok",2
920,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, men sjelden",1,1,3,NA,NA,"Grok",NA
921,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",1,"SV",3,"Ja, noen ganger",1,1,1,2,3,"Grok",1
922,"Kvinne","45-54","Vestlandet","Universitet/høyskole 5+ år",1,"Rødt",3,"Ja, store deler av tiden",2,0,4,4,4,"ChatGPT",1
923,"Kvinne","45-54","Trøndelag","Universitet/høyskole 1-4 år",NA,NA,3,"Nei, aldri",0,0,2,1,NA,"Gemini",2
924,"Mann","65+","Agder og Rogaland","Universitet/høyskole 5+ år",NA,NA,4,"Ja, men sjelden",4,1,4,1,4,"Grok",2
925,"Mann","65+","Trøndelag","Grunnskole/videregående",5,"Høyre",3,"Nei, aldri",0,0,4,4,2,"Forsker",3
926,"Kvinne","18-24","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"MDG",2,"Ja, noen ganger",0,0,1,2,3,"Gemini",1
927,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",0,"Rødt",4,"Nei, aldri",1,0,2,2,2,"Forsker",4
928,"Mann","45-54","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Nei, aldri",3,1,3,2,3,"Grok",3
929,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",1,"Arbeiderpartiet",4,"Nei, aldri",4,0,4,3,2,"ChatGPT",1
930,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,2,"Ja, noen ganger",1,0,NA,4,2,"Forsker",NA
931,"Kvinne","45-54","Nord-Norge","Universitet/høyskole 1-4 år",4,"SV",3,"Nei, aldri",0,0,2,2,2,"Forsker",2
932,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",4,"Nei, aldri",5,1,4,4,2,"heiVG",2
933,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",3,"Nei, aldri",4,1,3,4,3,"Grok",2
934,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Nei, aldri",2,1,3,4,NA,"Gemini",2
935,"Mann","65+","Oslo og Akershus","Universitet/høyskole 5+ år",5,NA,3,"Nei, aldri",0,0,NA,3,4,"Forsker",2
936,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",3,"Nei, aldri",3,1,NA,1,3,"Forsker",3
937,"Kvinne","18-24","Nord-Norge","Grunnskole/videregående",5,"Venstre",3,"Ja, noen ganger",4,1,2,3,3,"Gemini",2
938,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Nei, aldri",2,1,3,4,3,"Grok",2
939,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",4,"MDG",3,"Ja, men sjelden",1,0,2,2,3,"ChatGPT",2
940,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Nei, aldri",5,1,4,5,3,"Gemini",3
941,"Kvinne","25-34","Oslo og Akershus","Grunnskole/videregående",NA,"Rødt",3,"Ja, men sjelden",0,0,1,2,2,"Grok",2
942,"Mann","35-44","Trøndelag","Universitet/høyskole 1-4 år",1,"SV",3,"Ja, men sjelden",1,0,2,1,4,"Grok",1
943,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",0,"Rødt",3,"Ja, men sjelden",2,1,3,4,3,"Gemini",1
944,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",2,NA,4,"Nei, aldri",1,1,2,1,2,"ChatGPT",NA
945,"Mann","35-44","Oslo og Akershus","Grunnskole/videregående",4,NA,4,"Nei, aldri",2,0,4,4,4,"Gemini",3
946,"Mann","65+","Agder og Rogaland","Universitet/høyskole 5+ år",1,"Rødt",4,"Ja, noen ganger",0,0,1,1,2,"Gemini",1
947,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",6,"Fremskrittspartiet",2,"Nei, aldri",5,1,3,1,1,"Grok",2
948,"Mann","55-64","Vestlandet","Universitet/høyskole 5+ år",3,"MDG",3,"Ja, noen ganger",3,1,3,4,3,"heiVG",2
949,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Ja, noen ganger",3,0,NA,4,3,"Gemini",2
950,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",3,"MDG",3,"Ja, men sjelden",2,0,2,1,2,"Gemini",2
951,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",6,"Fremskrittspartiet",4,NA,5,1,5,5,4,"Grok",2
952,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",5,NA,3,"Nei, aldri",0,0,3,1,2,"heiVG",1
953,"Kvinne","65+","Nord-Norge","Universitet/høyskole 5+ år",2,"Rødt",3,"Ja, noen ganger",0,0,2,1,2,"ChatGPT",2
954,"Mann","35-44","Vestlandet","Universitet/høyskole 5+ år",8,"Venstre",4,"Nei, aldri",3,0,3,4,4,"Forsker",4
955,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",1,"Arbeiderpartiet",4,"Nei, aldri",3,1,2,4,3,"Gemini",3
956,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",3,1,3,2,4,"Forsker",3
957,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Venstre",3,"Ja, noen ganger",5,1,5,5,3,"Grok",2
958,"Kvinne","35-44","Trøndelag","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",4,"Nei, aldri",2,1,3,4,3,"Grok",1
959,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",2,NA,4,"Ja, noen ganger",0,0,2,2,NA,"Gemini",2
960,"Kvinne","45-54","Agder og Rogaland","Grunnskole/videregående",NA,"Fremskrittspartiet",3,"Ja, noen ganger",4,1,4,4,4,"Gemini",2
961,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",2,"Nei, aldri",5,0,2,1,3,"ChatGPT",2
962,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, men sjelden",3,1,3,NA,NA,"Forsker",NA
963,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",5,"Senterpartiet",3,"Ja, noen ganger",3,1,4,3,3,"ChatGPT",2
964,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Fremskrittspartiet",3,"Ja, men sjelden",3,1,3,4,2,"ChatGPT",2
965,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, noen ganger",3,1,3,1,1,"Gemini",1
966,"Mann","35-44","Nord-Norge","Grunnskole/videregående",5,NA,3,"Ja, men sjelden",0,0,2,2,3,"ChatGPT",3
967,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",6,"Senterpartiet",4,"Ja, men sjelden",5,0,4,3,3,"Forsker",3
968,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,4,2,3,"Grok",2
969,"Mann","25-34","Nord-Norge","Universitet/høyskole 1-4 år",7,"Venstre",4,"Nei, aldri",3,1,3,3,3,"Grok",2
970,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",2,"Ja, noen ganger",3,0,4,2,2,"Grok",2
971,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",5,"Fremskrittspartiet",3,"Ja, store deler av tiden",4,1,4,4,4,"heiVG",4
972,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",5,NA,3,"Ja, men sjelden",1,0,3,3,3,"Gemini",2
973,"Kvinne","55-64","Vestlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, noen ganger",2,1,4,4,2,"Forsker",3
974,"Mann","55-64","Trøndelag","Universitet/høyskole 5+ år",2,"SV",4,"Nei, aldri",3,1,4,4,3,"Forsker",4
975,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",6,"KrF",2,NA,5,1,3,3,1,"Grok",NA
976,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"MDG",3,"Ja, men sjelden",3,0,4,1,3,"Forsker",3
977,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Nei, aldri",NA,NA,3,4,2,"ChatGPT",2
978,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",8,"Høyre",4,"Nei, aldri",3,1,4,4,4,"Gemini",2
979,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",5,NA,3,"Nei, aldri",NA,NA,3,2,3,"heiVG",2
980,"Mann","55-64","Vestlandet","Grunnskole/videregående",7,"Høyre",3,"Ja, noen ganger",0,0,NA,5,3,"Gemini",2
981,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,NA,4,"Nei, aldri",3,1,4,1,4,"Gemini",2
982,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",4,"MDG",3,"Ja, men sjelden",2,1,2,2,3,"Gemini",2
983,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",1,"SV",3,"Ja, men sjelden",0,0,2,1,4,"heiVG",1
984,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"SV",4,"Nei, aldri",3,1,1,2,NA,"ChatGPT",1
985,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"SV",4,"Nei, aldri",3,1,1,1,4,"ChatGPT",1
986,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",6,"KrF",3,"Ja, store deler av tiden",2,0,2,4,3,"Grok",1
987,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",7,NA,4,"Ja, men sjelden",3,1,3,2,4,"heiVG",3
988,"Kvinne","25-34","Nord-Norge","Grunnskole/videregående",NA,NA,2,"Ja, noen ganger",0,0,2,3,2,"Forsker",1
989,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 5+ år",5,NA,3,"Nei, aldri",4,1,3,1,2,"Gemini",2
990,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",2,"Ja, men sjelden",4,1,4,4,NA,"Gemini",2
991,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",2,"Ja, noen ganger",0,0,4,4,2,"Grok",2
992,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",7,NA,4,"Nei, aldri",3,1,4,3,3,"ChatGPT",3
993,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",5,"KrF",3,"Ja, men sjelden",2,1,4,3,3,"Forsker",2
994,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Venstre",3,"Nei, aldri",1,0,2,4,3,"Grok",1
995,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",2,"SV",3,"Ja, noen ganger",4,1,4,4,2,"Gemini",1
996,"Mann","18-24","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, noen ganger",5,1,2,2,4,"heiVG",3
997,"Mann","25-34","Nord-Norge","Universitet/høyskole 1-4 år",1,"Rødt",4,"Nei, aldri",4,1,4,4,4,"Forsker",4
998,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Venstre",4,NA,4,1,4,5,4,"ChatGPT",3
999,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Venstre",4,"Nei, aldri",0,0,2,1,3,"Grok",3
1000,"Kvinne","65+","Trøndelag","Grunnskole/videregående",5,"Arbeiderpartiet",3,"Ja, noen ganger",4,1,4,4,3,"heiVG",3
1001,"Mann","65+","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Høyre",4,"Ja, noen ganger",3,1,4,4,4,"Grok",NA
1002,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",10,"Fremskrittspartiet",3,"Ja, noen ganger",3,1,3,5,1,"heiVG",3
1003,"Mann","25-34","Vestlandet","Grunnskole/videregående",3,NA,4,"Ja, noen ganger",2,0,2,4,3,"heiVG",2
1004,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",5,"Arbeiderpartiet",4,"Nei, aldri",1,1,4,3,3,"Grok",3
1005,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",5,NA,2,"Nei, aldri",0,0,NA,3,2,"ChatGPT",1
1006,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",3,NA,3,NA,4,1,4,4,3,"Forsker",NA
1007,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",6,NA,3,"Ja, noen ganger",2,1,NA,4,NA,"Grok",3
1008,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Rødt",3,"Ja, noen ganger",0,0,2,2,3,"heiVG",3
1009,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",6,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,2,3,3,"Gemini",3
1010,"Kvinne","45-54","Trøndelag","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",3,"Nei, aldri",4,1,4,5,5,"Forsker",2
1011,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",2,"Ja, noen ganger",1,0,3,5,3,"ChatGPT",2
1012,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",NA,"Senterpartiet",2,"Ja, noen ganger",1,1,2,2,2,"heiVG",2
1013,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",7,"Høyre",4,"Nei, aldri",3,0,3,4,3,"Gemini",3
1014,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",2,1,2,2,4,"Grok",1
1015,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",2,"Ja, men sjelden",2,1,4,1,3,"ChatGPT",2
1016,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",NA,NA,3,"Nei, aldri",0,0,4,4,2,"heiVG",2
1017,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",8,NA,2,"Nei, aldri",3,1,4,3,3,"Gemini",2
1018,"Kvinne","45-54","Trøndelag","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, men sjelden",4,1,3,4,2,"Forsker",2
1019,"Mann","65+","Oslo og Akershus","Grunnskole/videregående",5,NA,3,"Nei, aldri",2,0,NA,2,3,"Gemini",NA
1020,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",2,"SV",4,"Nei, aldri",0,0,4,2,3,"Grok",1
1021,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, noen ganger",0,0,4,5,4,"ChatGPT",2
1022,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",3,"Ja, noen ganger",3,0,5,5,4,"Gemini",1
1023,"Kvinne","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",2,"Rødt",4,"Ja, men sjelden",1,1,3,4,4,"Forsker",2
1024,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, noen ganger",3,1,NA,2,3,"heiVG",3
1025,"Kvinne","45-54","Trøndelag","Grunnskole/videregående",NA,"Fremskrittspartiet",4,"Ja, noen ganger",4,1,3,2,2,"Gemini",2
1026,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",6,"Høyre",3,"Nei, aldri",2,1,4,3,2,"ChatGPT",1
1027,"Kvinne","18-24","Sør-Østlandet","Universitet/høyskole 1-4 år",1,"MDG",4,"Nei, aldri",3,1,2,1,4,"Grok",1
1028,"Kvinne","25-34","Trøndelag","Universitet/høyskole 1-4 år",1,"Rødt",4,"Ja, noen ganger",0,0,2,2,NA,"heiVG",2
1029,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, men sjelden",3,0,1,1,1,"Gemini",2
1030,"Kvinne","25-34","Trøndelag","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",2,"Ja, men sjelden",2,1,3,1,1,"Grok",NA
1031,"Kvinne","65+","Trøndelag","Grunnskole/videregående",3,NA,3,"Ja, men sjelden",0,0,2,2,3,"Forsker",2
1032,"Mann","65+","Vestlandet","Universitet/høyskole 5+ år",7,"Høyre",2,NA,4,0,4,5,1,"ChatGPT",1
1033,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",NA,"SV",3,"Ja, store deler av tiden",4,1,2,1,2,"Gemini",2
1034,"Kvinne","45-54","Nord-Norge","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Ja, noen ganger",0,0,1,1,NA,"Gemini",3
1035,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Venstre",4,"Nei, aldri",4,0,3,2,5,"Forsker",5
1036,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",4,"Ja, noen ganger",5,1,4,4,3,"Grok",3
1037,"Mann","45-54","Vestlandet","Grunnskole/videregående",NA,NA,2,"Nei, aldri",NA,NA,4,2,2,"Forsker",1
1038,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,"Venstre",3,"Ja, men sjelden",0,0,1,1,1,"Gemini",NA
1039,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Senterpartiet",3,"Nei, aldri",0,0,3,1,NA,"Grok",3
1040,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Rødt",2,"Ja, noen ganger",0,0,3,4,2,"Gemini",2
1041,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, noen ganger",0,0,2,1,NA,"Gemini",1
1042,"Mann","65+","Trøndelag","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",3,"Nei, aldri",1,1,2,1,2,"heiVG",3
1043,"Mann","65+","Nord-Norge","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",0,0,3,3,1,"ChatGPT",NA
1044,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",2,"Nei, aldri",4,1,5,5,1,"heiVG",2
1045,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",3,"Rødt",3,"Ja, noen ganger",3,0,4,4,4,"Gemini",3
1046,"Kvinne","35-44","Agder og Rogaland","Grunnskole/videregående",4,"Rødt",3,"Nei, aldri",3,1,3,4,3,"Gemini",2
1047,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",3,"SV",3,"Ja, noen ganger",4,1,NA,2,3,"ChatGPT",2
1048,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",4,NA,3,"Nei, aldri",4,1,2,2,4,"Forsker",2
1049,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, noen ganger",4,1,3,4,3,"Forsker",3
1050,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, men sjelden",4,0,2,2,4,"ChatGPT",1
1051,"Mann","65+","Trøndelag","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, store deler av tiden",0,0,2,4,2,"heiVG",1
1052,"Kvinne","55-64","Nord-Norge","Grunnskole/videregående",8,"Fremskrittspartiet",2,"Ja, men sjelden",NA,NA,NA,2,2,"ChatGPT",2
1053,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",3,"Nei, aldri",3,1,2,5,3,"ChatGPT",2
1054,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Venstre",2,"Nei, aldri",4,1,4,3,2,"Forsker",3
1055,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"MDG",3,"Ja, noen ganger",3,1,2,2,4,"Forsker",NA
1056,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",3,1,4,2,3,"heiVG",4
1057,"Kvinne","45-54","Vestlandet",NA,NA,NA,3,"Ja, men sjelden",3,1,4,5,NA,"Forsker",NA
1058,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",6,NA,3,"Ja, men sjelden",1,1,2,4,3,"ChatGPT",3
1059,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",9,"Høyre",3,"Ja, store deler av tiden",3,1,4,NA,4,"Forsker",NA
1060,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",3,NA,3,"Ja, noen ganger",1,1,2,3,NA,"Gemini",3
1061,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",3,"Fremskrittspartiet",3,"Nei, aldri",1,1,3,4,3,"heiVG",2
