"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
144,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,3,"Nei, aldri",0,0,1,1,3,"Grok",1
145,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",0,"Rødt",3,"Ja, noen ganger",5,0,2,1,2,"Gemini",1
146,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",3,"Nei, aldri",0,0,1,4,1,"ChatGPT",1
147,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",4,NA,4,"Ja, store deler av tiden",0,0,4,1,4,"ChatGPT",1
148,"Mann","65+","Oslo og Akershus","Universitet/høyskole 5+ år",2,"MDG",4,"Ja, men sjelden",2,1,2,2,4,"Grok",2
149,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",NA,NA,4,"Nei, aldri",0,0,NA,NA,NA,"Forsker",NA
150,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",0,"SV",3,"Nei, aldri",0,0,2,1,1,"Gemini",1
151,"Kvinne","55-64","Vestlandet","Grunnskole/videregående",9,"Fremskrittspartiet",1,"Ja, men sjelden",3,1,1,1,1,"ChatGPT",1
152,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",2,"MDG",4,"Ja, noen ganger",NA,NA,3,2,4,"Gemini",2
153,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, noen ganger",1,0,4,2,3,"Grok",2
154,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,2,"Nei, aldri",0,0,3,3,1,"Grok",1
155,"Kvinne","45-54","Vestlandet","Universitet/høyskole 5+ år",2,"SV",4,"Ja, men sjelden",0,0,3,3,2,"Gemini",2
156,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"MDG",2,"Ja, men sjelden",3,0,1,4,1,"ChatGPT",2
157,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Venstre",4,"Nei, aldri",5,0,5,4,4,"ChatGPT",2
158,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",4,"Ja, men sjelden",2,1,4,2,4,"Grok",3
159,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",3,"Ja, men sjelden",2,1,2,1,1,"ChatGPT",1
160,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",5,1,4,4,4,"Gemini",2
161,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",1,NA,2,"Ja, store deler av tiden",4,1,4,1,3,"heiVG",1
162,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",3,"Ja, men sjelden",3,0,4,4,3,"Forsker",2
163,"Mann","35-44","Trøndelag","Grunnskole/videregående",6,NA,3,"Nei, aldri",3,1,4,3,3,"Grok",2
164,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",4,"Nei, aldri",1,1,2,3,2,"ChatGPT",2
165,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 5+ år",8,NA,3,"Ja, store deler av tiden",5,1,5,4,2,"heiVG",2
166,"Mann","45-54","Trøndelag","Grunnskole/videregående",2,NA,3,"Ja, noen ganger",3,0,4,4,4,"heiVG",2
167,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",5,NA,3,"Nei, aldri",0,0,2,5,2,"Gemini",2
168,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",5,"Arbeiderpartiet",3,"Ja, men sjelden",3,0,4,2,3,"ChatGPT",2
169,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",2,"Nei, aldri",NA,NA,3,1,3,"heiVG",1
170,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",10,"Fremskrittspartiet",2,"Ja, noen ganger",5,0,3,5,NA,"heiVG",1
171,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,4,"Nei, aldri",1,1,4,4,4,"Gemini",NA
172,"Kvinne","25-34","Trøndelag","Grunnskole/videregående",0,"SV",4,"Ja, noen ganger",0,0,1,1,1,"ChatGPT",1
173,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",4,"Nei, aldri",3,0,4,4,5,"Gemini",4
174,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",4,"Ja, men sjelden",0,0,NA,1,3,"ChatGPT",1
175,"Mann","45-54","Trøndelag","Grunnskole/videregående",7,"Fremskrittspartiet",3,"Ja, noen ganger",2,1,4,5,2,"heiVG",1
